file_path,transcript
asr_data/audio/2767ddbc-6ecc-4605-8dad-6dd0262a0d58.wav,Bisiklet sürmek çok eğlenceli
asr_data/audio/98588131-a360-4e6e-b477-fa30dd1093b4.wav,Otobüs durağa yeni geldi
asr_data/audio/57ad48ad-85c1-4d24-af3a-74e7eca2b7c0.wav,Uçağımız birazdan kalkacak
asr_data/audio/b84340f4-f270-4243-8780-83f141f8f7b6.wav,Tren raylarda hızla ilerledi
asr_data/audio/d8803761-4a93-49cb-946d-e62aee87a3ec.wav,Deniz dalgalıydı
asr_data/audio/a9f240a4-d73a-4e49-99d3-992990b7d8a1.wav,Gökyüzünde kara bulutlar vardı
asr_data/audio/115f9268-9218-4326-abe2-d053050a51d9.wav,Bu gece yıldızlar çok parlak görünüyor
asr_data/audio/571f8d12-f3b5-408c-bd1a-a14f1bae8155.wav,Bulutların arkasından güneş çıktı
asr_data/audio/c93c52ff-eefb-41bc-bcdb-816db4dd7dfd.wav,Yağmur yağarken şarkı söylüyorduk
asr_data/audio/3f2ceb4f-6acd-4a0d-8338-9bd2344dc618.wav,Kar taneleri sessizce yere düşüyordu
asr_data/audio/7a1a81ae-ea4c-42d8-b5a4-a0ffb8ef6db7.wav,Güneş batarken gökyüzü turuncuya döndü
asr_data/audio/4bf2fd1a-f636-4b25-a3ce-719d0b23d53e.wav,Ay ışığı geceyi aydınlattı
asr_data/audio/19c72ed4-ac74-4e0a-b70e-2dda9f08d832.wav,Çiçekler baharda açtı
asr_data/audio/fc744f9a-87e3-4980-9285-7e59810042d6.wav,Bahçedeki ağaç çok büyüdü
asr_data/audio/78879d2d-768a-463b-8971-31794fd2f9ca.wav,Sonbaharda yapraklar sararıyor
asr_data/audio/4044deb6-9339-4647-a939-c5568734aae3.wav,ormanın derinliklerinde sessizlik vardı
asr_data/audio/0cde4534-0ab3-441d-acb9-3e47721e9b71.wav,Çimlerin üzerine oturduk
asr_data/audio/f5b157b1-6fb4-4fd5-90aa-26ee456e719d.wav,Dağın zirvesine tırmandık
asr_data/audio/24bfbe1e-e9f5-4937-8e3d-52b2b7d88c00.wav,Nehir boyunca yürüdük
asr_data/audio/31abfe72-4632-4241-8a98-c4579c98cd27.wav,Bu yol köye gidiyor
asr_data/audio/ee09f402-0800-40a3-ad23-0b9d2daa6a1a.wav,Köprüden geçerken manzara harikaydı
asr_data/audio/d7f63106-ba73-4e72-a0e4-745e5aabbb2c.wav,Şehir çok kalabalıktı
asr_data/audio/f9f4de28-cce9-4c49-991c-72983f384e66.wav,Evimizin önünde büyük bir bahçe var
asr_data/audio/e1dc621a-7a60-460c-9068-0972791219e1.wav,Tatilde bir otelde kaldık
asr_data/audio/8f07fc0b-5746-4265-b006-dd7b54122f17.wav,Okulun bahçesi çok geniş
asr_data/audio/c09695a7-e1c4-45fe-b25f-aa53893bf594.wav,Hastane acil servisinde kalabalık vardı
asr_data/audio/a7cf71a0-267f-498b-9a31-1baaedc637b2.wav,Kütüphane sessiz ve huzurluydu
asr_data/audio/e4839704-a785-4243-bc0f-b90f222718f1.wav,Müze ziyaretçiye doluydu
asr_data/audio/4a5ac4ec-dc5e-42ca-aca8-cd10e5a42512.wav,Parkta çocuklar oynuyordu
asr_data/audio/12ee95aa-0d43-437b-874a-904b82abcc2e.wav,Bahçede güller açmışt
asr_data/audio/6b7ab85e-7c46-4d99-a084-29b0d1886edd.wav,Bankada uzun bir sıra vardı
asr_data/audio/d0bd964e-93aa-4b45-8eb9-5bb19eee896a.wav,Mağazadan yeni bir ceket aldım
asr_data/audio/007c44ac-c7b4-4957-b4a7-87c03d9ff807.wav,Restoranda çok lezzetli yemekler vardı
asr_data/audio/ed9c5976-56aa-4681-890a-209d646b561b.wav,Kafede arkadaşlarımla buluştum
asr_data/audio/76f0f30e-5f05-4078-8254-da9a5b750202.wav,Tiyatro sahnesinde oyuncular harikaydı
asr_data/audio/400f068a-1aa9-45a4-ab60-8fff0661cef8.wav,Sinemada yeni filmi izledik
asr_data/audio/dca3d413-ed40-41b8-a19e-18ea12fa288e.wav,Sahne ışıkları çok parlaktı
asr_data/audio/94d1bf21-4f23-4a5c-a9cf-747c01865278.wav,Müzik ruhu dinlendirir
asr_data/audio/9efb1a65-8dcb-4c3f-b11c-dba2f22d8491.wav,Yeni şarkıyı defalarca dinledim
asr_data/audio/8895b091-036c-4296-bdcb-d6d494510453.wav,Dans etmeyi çok seviyorum
asr_data/audio/38f37819-cb86-4147-9e6d-3382d86347fc.wav,Çocuklar oyun oynuyordu
asr_data/audio/e7fac0d8-4f09-4cb3-8eff-651d838498ad.wav,Spor yapmak sağlığa faydalıdır
asr_data/audio/a99a5333-eaf6-4ec0-954b-40ad308bf970.wav,Futbol maçı heyecanlı geçti
asr_data/audio/0942630d-eb48-44ad-801d-c80ac8700f31.wav,Basketbol oynamak keyifliydi
asr_data/audio/e30fddec-08fc-4437-94e2-ab9891361856.wav,tenis kortunda antrenman yaptık
asr_data/audio/6462be85-4b0e-42dc-8da7-3c8e1e565c3c.wav,Yüzme yarışını kazandım
asr_data/audio/9d3c486b-5029-4097-b4df-592af4f982eb.wav,Sabahları koşu yapıyorum
asr_data/audio/87d7d662-71fa-4991-8f9b-adc61defc353.wav,Elma çok sulu ve tatlıydı
asr_data/audio/b09ea0e2-65ad-4479-9928-6a18905ae2c2.wav,Muz kahvaltıda çok iyi gider
asr_data/audio/f5229225-bab6-4b6a-b34f-09c990f6788b.wav,Portakal suyu içtik
asr_data/audio/f210187b-8b97-4e41-8753-3429e5d088c8.wav,Çilek reçeli yaptık
asr_data/audio/7613c2ad-aa21-4914-8334-acef538c0075.wav,Karpuz yazın en güzel meyvesidir
asr_data/audio/c0fc94ed-593a-483a-b6dc-c7738709be1a.wav,Üzüm bağında dolaştık
asr_data/audio/9922b937-89cc-4e73-851c-9f0ef3387666.wav,Kiraz ağacından meyve topladık
asr_data/audio/3236eaa1-b611-4da7-b8fc-bd48a84ddcdd.wav,Armut tatlıydı
asr_data/audio/6ce96796-f4cd-4b0b-808a-02d0c77b2d83.wav,Domates salataya eklendi
asr_data/audio/fe3893d4-5d2f-46d9-a85f-f1f95682bf24.wav,Patates kızartması yedik
asr_data/audio/841cf1ed-d72d-4139-ab70-aa592f0b1e00.wav,Soğan doğrarken gözlerim yaşardı
asr_data/audio/6ae967b9-1001-4997-aa74-d53bbc1ac785.wav,Biber çok acıydı
asr_data/audio/524bed19-751c-453c-882e-74a98154b7be.wav,Havuç çorbaya çok yakıştı
asr_data/audio/8c94e099-44fa-4f4e-8e1d-62db02d5c9e9.wav,Ekmek fırından yeni çıkmıştı
asr_data/audio/ff3b4c8a-a13a-4c01-b646-62f8c0cb0ed7.wav,Peynir kahvaltının olmazsa olmazıdır
asr_data/audio/c9305ea2-295d-4291-beac-5e90999ce32f.wav,Süt buzdolabında vardı
asr_data/audio/23259917-b8ef-41b1-be38-9f6e4b2fd041.wav,Yoğurt ev yapımıydı
asr_data/audio/c45e65ce-3ed2-4148-8319-85e147d27d9c.wav,Yumurta omlet yaptım
asr_data/audio/197ad1ed-e351-4c0b-a710-16ef6606ab72.wav,bal ekmeğe sürüldü
asr_data/audio/0ce9b655-7208-4eb1-b1b6-a98843f12b7f.wav,Çikolata tatlı krizini dindirir
asr_data/audio/220c1bfd-de0f-4251-9870-f067a7a304b3.wav,Yazın dondurma yemek güzeldir
asr_data/audio/6bd69b12-0948-43f7-ab6d-0b332b656130.wav,Doğum gününde pasta kestik
asr_data/audio/5e945bed-1ddc-49eb-8638-91f592a1f970.wav,Pizza sipariş ettik
asr_data/audio/9719d9bd-0acf-4abd-a12c-049188996110.wav,Hamburger yedikten sonra çok doyduk
asr_data/audio/0d8a43eb-143f-4716-ac77-4c8520963b6b.wav,Balık ızgara çok lezzetliydi
asr_data/audio/a1c1fd3b-3548-4f62-8961-49f0d47f091a.wav,Et fırında pişti
asr_data/audio/e973bb51-a0d1-4005-bab9-9d33e8de987f.wav,Tavuk çorbası içtik
asr_data/audio/a368c25c-1ab8-4e8a-adef-24b8293b8b87.wav,Pilav çok güzel olmuştu
asr_data/audio/eb919f93-70e7-4521-b28e-4b6831a438bb.wav,Makarna üzerine sos döktük
asr_data/audio/b7cd2337-452f-4068-a2fd-991ec6c4f4fa.wav,Salata sağlıklı bir seçimdi
asr_data/audio/d471fc80-9bbf-4207-8040-95f9a0421c32.wav,Çorba sıcak servis edildi
asr_data/audio/97637453-46a8-4620-bf83-f81274e39f8a.wav,Tatlı olarak baklava yedik
